,,England ,Wales ,Scotland ,Great Britain ,Northern Ireland ,United Kingdom 
Mid-year 1991 ,All ages ,47875035,2872998,5083330,55831363,1607295,57438658
Mid-year 1992 ,,47997973,2877674,5085620,55961267,1623263,57584530
Mid-year 1993 ,,48102319,2883558,5092460,56078337,1635552,57713889
Mid-year 1994 ,,48228781,2887447,5102210,56218438,1643707,57862145
Mid-year 1995 ,,48383461,2888517,5103690,56375668,1649131,58024799
Mid-year 1996 ,,48519129,2891304,5092190,56502623,1661751,58164374
Mid-year 1997 ,,48664777,2894871,5083340,56642988,1671261,58314249
Mid-year 1998 ,,48820583,2899521,5077070,56797174,1677769,58474943
Mid-year 1999 ,,49032872,2900599,5071950,57005421,1679006,58684427
Mid-year 2000 ,,49233311,2906870,5062940,57203121,1682944,58886065
Mid-year 2001 ,All ages ,49449746,2910232,5064200,57424178,1688838,59113016
Mid-year 2002 ,,49679267,2922876,5066000,57668143,1697534,59365677
Mid-year 2003 ,,49925517,2937721,5068500,57931738,1704924,59636662
Mid-year 2004 ,,50194600,2957422,5084300,58236322,1714042,59950364
Mid-year 2005 ,,50606034,2969309,5110200,58685543,1727733,60413276
Mid-year 2006 ,,50965186,2985668,5133100,59083954,1743113,60827067
Mid-year 2007 ,,51381093,3006299,5170000,59557392,1761683,61319075
Mid-year 2008 ,,51815853,3025867,5202900,60044620,1779152,61823772
Mid-year 2009 ,,52196381,3038872,5231900,60467153,1793333,62260486
Mid-year 2010 ,,52642452,3049971,5262200,60954623,1804833,62759456
Mid-year 2011 ,All ages ,53107169,3063758,5299900,61470827,1814318,63285145
Mid-year 2012 ,,53493729,3074067,5313600,61881396,1823634,63705030
Mid-year 2013 ,,53865817,3082412,5327700,62275929,1829725,64105654
Mid-year 2014 ,,54316618,3092036,5347600,62756254,1840498,64596752
Mid-year 2015 ,All ages ,54786327,3099086,5373000,63258413,1851621,65110034
Mid-year 2016 ,All ages ,55268067,3113150,5404700,63785917,1862137,65648054
Mid-year 2017 ,All ages ,55619430,3125165,5424800,64169395,1870834,66040229
Mid-year 2018 ,All ages ,55977178,3138631,5438100,64553909,1881641,66435550
Mid-year 2019 ,All ages ,56286961,3152879,5463300,64903140,1893667,66796807
